"('timestamp', '')","('open', 'AUDCAD=X')","('high', 'AUDCAD=X')","('low', 'AUDCAD=X')","('close', 'AUDCAD=X')","('volume', 'AUDCAD=X')"
2025-05-27,0.8901640176773071,0.8913170099258423,0.8858199715614319,0.8901640176773071,0
2025-05-28,0.89028000831604,0.8909800052642822,0.8860999941825867,0.89028000831604,0
2025-05-29,0.8898199796676636,0.8911129832267761,0.8877900242805481,0.8898199796676636,0
2025-05-30,0.8898299932479858,0.8905919790267944,0.8833299875259399,0.8898299932479858,0
2025-06-02,0.8843330144882202,0.8903440237045288,0.8842300176620483,0.8843330144882202,0
2025-06-03,0.8908900022506714,0.8910300135612488,0.8854230046272278,0.8908900022506714,0
2025-06-04,0.886847972869873,0.8896399736404419,0.8854420185089111,0.886847972869873,0
2025-06-05,0.8878539800643921,0.8917790055274963,0.8871999979019165,0.8878539800643921,0
2025-06-06,0.8896999955177307,0.8902999758720398,0.8871999979019165,0.8896999955177307,0
2025-06-09,0.8898770213127136,0.893280029296875,0.8889999985694885,0.8898770213127136,0
2025-06-10,0.892799973487854,0.8946980237960815,0.8908550143241882,0.892799973487854,0
2025-06-11,0.891700029373169,0.8936100006103516,0.8888999819755554,0.891700029373169,0
2025-06-12,0.8894799947738647,0.8898630142211914,0.8853999972343445,0.8894799947738647,0
2025-06-13,0.887499988079071,0.8873329758644104,0.8808500170707703,0.887499988079071,0
2025-06-16,0.881600022315979,0.8872699737548828,0.8797900080680847,0.881600022315979,0
2025-06-17,0.8834400177001953,0.8881819844245911,0.8831790089607239,0.8834400177001953,0
2025-06-18,0.8866109848022461,0.8924099802970886,0.8855999708175659,0.8866109848022461,0
2025-06-19,0.8906000256538391,0.8913589715957642,0.8853999972343445,0.8906000256538391,0
2025-06-20,0.8882200121879578,0.8905199766159058,0.8865699768066406,0.8882200121879578,0
2025-06-23,0.8856449723243713,0.885699987411499,0.8789799809455872,0.8856449723243713,0
2025-06-24,0.8893120288848877,0.8933899998664856,0.8886799812316895,0.8893120288848877,0
2025-06-25,0.8913499712944031,0.8930929899215698,0.8907999992370605,0.8913499712944031,0
2025-06-26,0.8943099975585938,0.8962200284004211,0.8924300074577332,0.8943099975585938,0
2025-06-27,0.8930299878120422,0.894540011882782,0.8906000256538391,0.8930299878120422,0
2025-06-30,0.8932999968528748,0.8951830267906189,0.8921300172805786,0.8932999968528748,0
2025-07-01,0.8947070240974426,0.8976200222969055,0.8924999833106995,0.8947070240974426,0
2025-07-02,0.8974180221557617,0.8983269929885864,0.8928999900817871,0.8974180221557617,0
2025-07-03,0.8943300247192383,0.8944849967956543,0.8899999856948853,0.8943300247192383,0
2025-07-04,0.8927710056304932,0.8930439949035645,0.8898640275001526,0.8927710056304932,0
2025-07-07,0.8904399871826172,0.89274001121521,0.8857100009918213,0.8878099918365479,0
