"('timestamp', '')","('open', 'EURAUD=X')","('high', 'EURAUD=X')","('low', 'EURAUD=X')","('close', 'EURAUD=X')","('volume', 'EURAUD=X')"
2025-05-26,1.7491899728775024,1.7523900270462036,1.7461999654769897,1.7491899728775024,0
2025-05-27,1.7570500373840332,1.7624200582504272,1.755079984664917,1.7570500373840332,0
2025-05-28,1.7583199739456177,1.7635999917984009,1.7541999816894531,1.7583199739456177,0
2025-05-29,1.748270034790039,1.764989972114563,1.748039960861206,1.748270034790039,0
2025-05-30,1.7649600505828857,1.7690000534057617,1.7618900537490845,1.7649600505828857,0
2025-06-02,1.7617700099945068,1.7651000022888184,1.7580000162124634,1.7617700099945068,0
2025-06-03,1.7623000144958496,1.7706199884414673,1.7597800493240356,1.7623000144958496,0
2025-06-04,1.7604999542236328,1.7628899812698364,1.75409996509552,1.7604999542236328,0
2025-06-05,1.7597500085830688,1.7601200342178345,1.7520999908447266,1.7597500085830688,0
2025-06-06,1.7591400146484375,1.7612700462341309,1.7538000345230103,1.7591400146484375,0
2025-06-09,1.7548099756240845,1.7551100254058838,1.7492400407791138,1.7548099756240845,0
2025-06-10,1.7530900239944458,1.7548099756240845,1.7461299896240234,1.7530900239944458,0
2025-06-11,1.752150058746338,1.7628599405288696,1.7513600587844849,1.752150058746338,0
2025-06-12,1.7678200006484985,1.7816100120544434,1.7674800157546997,1.7678200006484985,0
2025-06-13,1.7768100500106812,1.787410020828247,1.7745399475097656,1.7768100500106812,0
2025-06-16,1.7789000272750854,1.782099962234497,1.7711000442504883,1.7789000272750854,0
2025-06-17,1.7745699882507324,1.7753100395202637,1.7662999629974365,1.7745699882507324,0
2025-06-18,1.7719600200653076,1.7735199928283691,1.764989972114563,1.7719600200653076,0
2025-06-19,1.7633999586105347,1.7786500453948975,1.7630000114440918,1.7633999586105347,0
2025-06-20,1.7747199535369873,1.7849299907684326,1.772879958152771,1.7747199535369873,0
2025-06-23,1.783769965171814,1.798930048942566,1.7836500406265259,1.783769965171814,0
2025-06-24,1.7904800176620483,1.7910799980163574,1.781000018119812,1.7904800176620483,0
2025-06-25,1.787950038909912,1.7912299633026123,1.7836899757385254,1.787950038909912,0
2025-06-26,1.7911200523376465,1.7937300205230713,1.7858799695968628,1.7911200523376465,0
2025-06-27,1.785789966583252,1.7969800233840942,1.7834399938583374,1.785789966583252,0
2025-06-30,1.7949299812316895,1.7962599992752075,1.7898199558258057,1.7949299812316895,0
2025-07-01,1.7922300100326538,1.7969399690628052,1.7885899543762207,1.7922300100326538,0
2025-07-02,1.7939900159835815,1.7963099479675293,1.7913000583648682,1.7939900159835815,0
2025-07-03,1.7925100326538086,1.7963999509811401,1.7884000539779663,1.7925100326538086,0
2025-07-04,1.7892299890518188,1.7991199493408203,1.788140058517456,1.7975399494171143,0
