"('timestamp', '')","('open', 'EURCAD=X')","('high', 'EURCAD=X')","('low', 'EURCAD=X')","('close', 'EURCAD=X')","('volume', 'EURCAD=X')"
2025-05-27,1.5641599893569946,1.565790057182312,1.5594899654388428,1.5641599893569946,0
2025-05-28,1.5655499696731567,1.5671099424362183,1.5594300031661987,1.5655499696731567,0
2025-05-29,1.5559200048446655,1.5698299407958984,1.5552899837493896,1.5559200048446655,0
2025-05-30,1.5707199573516846,1.5720200538635254,1.5592000484466553,1.5707199573516846,0
2025-06-02,1.5580699443817139,1.5684200525283813,1.5581899881362915,1.5580699443817139,0
2025-06-03,1.5701700448989868,1.5706900358200073,1.560379981994629,1.5701700448989868,0
2025-06-04,1.5611599683761597,1.5638799667358398,1.5590900182724,1.5611599683761597,0
2025-06-05,1.5623500347137451,1.5679399967193604,1.5589900016784668,1.5623500347137451,0
2025-06-06,1.5652300119400024,1.5653899908065796,1.5575000047683716,1.5652300119400024,0
2025-06-09,1.5616400241851807,1.5641299486160278,1.5587999820709229,1.5616400241851807,0
2025-06-10,1.565369963645935,1.5666999816894531,1.5609999895095825,1.565369963645935,0
2025-06-11,1.5633000135421753,1.5704699754714966,1.5600999593734741,1.5633000135421753,0
2025-06-12,1.572540044784546,1.5836800336837769,1.5712100267410278,1.572540044784546,0
2025-06-13,1.5771100521087646,1.5782899856567383,1.567139983177185,1.5771100521087646,0
2025-06-16,1.56850004196167,1.5731799602508545,1.5668699741363525,1.56850004196167,0
2025-06-17,1.567929983139038,1.570970058441162,1.5652300119400024,1.567929983139038,0
2025-06-18,1.5711599588394165,1.577340006828308,1.56905996799469,1.5711599588394165,0
2025-06-19,1.5717600584030151,1.5765000581741333,1.5699000358581543,1.5717600584030151,0
2025-06-20,1.5763299465179443,1.5836199522018433,1.5759299993515015,1.5763299465179443,0
2025-06-23,1.5799800157546997,1.5891499519348145,1.5792299509048462,1.5799800157546997,0
2025-06-24,1.5922000408172607,1.593500018119812,1.5877599716186523,1.5922000408172607,0
2025-06-25,1.5938199758529663,1.5988099575042725,1.591480016708374,1.5938199758529663,0
2025-06-26,1.6020300388336182,1.6063499450683594,1.5942200422286987,1.6020300388336182,0
2025-06-27,1.594980001449585,1.6029399633407593,1.5942800045013428,1.594980001449585,0
2025-06-30,1.6043599843978882,1.6056499481201172,1.5995999574661255,1.6043599843978882,0
2025-07-01,1.6035799980163574,1.6095999479293823,1.6015000343322754,1.6035799980163574,0
2025-07-02,1.6103399991989136,1.6106899976730347,1.6028300523757935,1.6103399991989136,0
2025-07-03,1.6033600568771362,1.6048699617385864,1.594059944152832,1.6033600568771362,0
2025-07-04,1.5975899696350098,1.6033799648284912,1.596269965171814,1.5975899696350098,0
2025-07-07,1.6007000207901,1.6052900552749634,1.599079966545105,1.6009700298309326,0
