"('timestamp', '')","('open', 'EURCHF=X')","('high', 'EURCHF=X')","('low', 'EURCHF=X')","('close', 'EURCHF=X')","('volume', 'EURCHF=X')"
2025-05-26,0.9352700114250183,0.9366700053215027,0.9333000183105469,0.9352700114250183,0
2025-05-27,0.9342700242996216,0.9390000104904175,0.9334999918937683,0.9342700242996216,0
2025-05-28,0.9378100037574768,0.938260018825531,0.9335700273513794,0.9378100037574768,0
2025-05-29,0.935230016708374,0.9371100068092346,0.9335299730300903,0.935230016708374,0
2025-05-30,0.9352099895477295,0.9356300234794617,0.9320799708366394,0.9352099895477295,0
2025-06-02,0.9333900213241577,0.9353299736976624,0.9327399730682373,0.9333900213241577,0
2025-06-03,0.9344499707221985,0.9378299713134766,0.9333299994468689,0.9344499707221985,0
2025-06-04,0.9367700219154358,0.9379900097846985,0.9345200061798096,0.9367700219154358,0
2025-06-05,0.9342600107192993,0.9397900104522705,0.9342100024223328,0.9342600107192993,0
2025-06-06,0.9383100271224976,0.9396100044250488,0.9365000128746033,0.9383100271224976,0
2025-06-09,0.9368199706077576,0.9376099705696106,0.9360700249671936,0.9368199706077576,0
2025-06-10,0.9383900165557861,0.9398099780082703,0.9362999796867371,0.9383900165557861,0
2025-06-11,0.9400799870491028,0.9418299794197083,0.9387999773025513,0.9400799870491028,0
2025-06-12,0.9419800043106079,0.9426800012588501,0.9391899704933167,0.9419800043106079,0
2025-06-13,0.9384999871253967,0.9386600255966187,0.930840015411377,0.9384999871253967,0
2025-06-16,0.9365000128746033,0.9418299794197083,0.935670018196106,0.9365000128746033,0
2025-06-17,0.9399099946022034,0.9417799711227417,0.9381800293922424,0.9399099946022034,0
2025-06-18,0.9379199743270874,0.9422199726104736,0.9380300045013428,0.9379199743270874,0
2025-06-19,0.9399099946022034,0.9417999982833862,0.9362300038337708,0.9399099946022034,0
2025-06-20,0.9396700263023376,0.9419199824333191,0.9391000270843506,0.9396700263023376,0
2025-06-23,0.9404199719429016,0.9409099817276001,0.937529981136322,0.9404199719429016,0
2025-06-24,0.9424800276756287,0.9425299763679504,0.9340900182723999,0.9424800276756287,0
2025-06-25,0.9349200129508972,0.9369900226593018,0.9333000183105469,0.9349200129508972,0
2025-06-26,0.9390599727630615,0.9397900104522705,0.9356300234794617,0.9390599727630615,0
2025-06-27,0.9362999796867371,0.9379000067710876,0.9340800046920776,0.9362999796867371,0
2025-06-30,0.9361100196838379,0.9372400045394897,0.9337000250816345,0.9361100196838379,0
2025-07-01,0.934440016746521,0.934499979019165,0.9306399822235107,0.934440016746521,0
2025-07-02,0.9334099888801575,0.9343299865722656,0.9314000010490417,0.9334099888801575,0
2025-07-03,0.9341800212860107,0.9363600015640259,0.9322100281715393,0.9341800212860107,0
2025-07-04,0.9339900016784668,0.9351999759674072,0.9330800175666809,0.9341199994087219,0
