"('timestamp', '')","('open', 'EURGBP=X')","('high', 'EURGBP=X')","('low', 'EURGBP=X')","('close', 'EURGBP=X')","('volume', 'EURGBP=X')"
2025-05-27,0.8394700288772583,0.8397600054740906,0.8373000025749207,0.8394700288772583,0
2025-05-28,0.838890016078949,0.8401100039482117,0.8381999731063843,0.838890016078949,0
2025-05-29,0.8363199830055237,0.8428999781608582,0.8361999988555908,0.8363199830055237,0
2025-05-30,0.842710018157959,0.8429800271987915,0.8403599858283997,0.842710018157959,0
2025-06-02,0.8428699970245361,0.8447499871253967,0.841821014881134,0.8428699970245361,0
2025-06-03,0.8447700142860413,0.8449400067329407,0.8410400152206421,0.8447700142860413,0
2025-06-04,0.8412799835205078,0.842930018901825,0.8406000137329102,0.8412799835205078,0
2025-06-05,0.8427799940109253,0.8446699976921082,0.8410300016403198,0.8427799940109253,0
2025-06-06,0.843280017375946,0.8442999720573425,0.841729998588562,0.843280017375946,0
2025-06-09,0.8425499796867371,0.8426100015640259,0.8413230180740356,0.8425499796867371,0
2025-06-10,0.8428999781608582,0.8467599749565125,0.84170001745224,0.8428999781608582,0
2025-06-11,0.8466600179672241,0.848770022392273,0.8462600111961365,0.8466600179672241,0
2025-06-12,0.8481600284576416,0.8543000221252441,0.847599983215332,0.8481600284576416,0
2025-06-13,0.8512399792671204,0.8530099987983704,0.8493199944496155,0.8512399792671204,0
2025-06-16,0.8510000109672546,0.8530899882316589,0.850492000579834,0.8510000109672546,0
2025-06-17,0.8514500260353088,0.8538299798965454,0.8511499762535095,0.8514500260353088,0
2025-06-18,0.8548799753189087,0.85589998960495,0.8541399836540222,0.8548799753189087,0
2025-06-19,0.8554199934005737,0.855929970741272,0.8532609939575195,0.8554199934005737,0
2025-06-20,0.8540899753570557,0.8557000160217285,0.8525000214576721,0.8540899753570557,0
2025-06-23,0.8558899760246277,0.8573700189590454,0.8546000123023987,0.8558899760246277,0
2025-06-24,0.856190025806427,0.8564000129699707,0.8519999980926514,0.856190025806427,0
2025-06-25,0.8528599739074707,0.8536499738693237,0.8512700200080872,0.8528599739074707,0
2025-06-26,0.8532999753952026,0.8539100289344788,0.8517000079154968,0.8532999753952026,0
2025-06-27,0.8518000245094299,0.8550999760627747,0.8508300185203552,0.8518000245094299,0
2025-06-30,0.8547300100326538,0.8580600023269653,0.8534029722213745,0.8547300100326538,0
2025-07-01,0.8583599925041199,0.8596199750900269,0.8556299805641174,0.8583599925041199,0
2025-07-02,0.858780026435852,0.8668799996376038,0.857699990272522,0.858780026435852,0
2025-07-03,0.8644300103187561,0.8654000163078308,0.8610000014305115,0.8644300103187561,0
2025-07-04,0.8611800074577332,0.8636999726295471,0.8608999848365784,0.8611800074577332,0
2025-07-07,0.8634999990463257,0.864329993724823,0.8605200052261353,0.8614500164985657,0
