"('timestamp', '')","('open', 'EURNZD=X')","('high', 'EURNZD=X')","('low', 'EURNZD=X')","('close', 'EURNZD=X')","('volume', 'EURNZD=X')"
2025-05-27,1.8996200561523438,1.90857994556427,1.8984400033950806,1.8996200561523438,0
2025-05-28,1.9058599472045898,1.9099700450897217,1.8916900157928467,1.9058599472045898,0
2025-05-29,1.8849999904632568,1.9018900394439697,1.8845000267028809,1.8849999904632568,0
2025-05-30,1.9030699729919434,1.9050400257110596,1.8970400094985962,1.9030699729919434,0
2025-06-02,1.9004000425338745,1.9003299474716187,1.8925199508666992,1.9004000425338745,0
2025-06-03,1.8935999870300293,1.9063800573349,1.8895800113677979,1.8935999870300293,0
2025-06-04,1.895359992980957,1.8979300260543823,1.8909900188446045,1.895359992980957,0
2025-06-05,1.894950032234192,1.8950899839401245,1.8860399723052979,1.894950032234192,0
2025-06-06,1.8954800367355347,1.8973699808120728,1.8901000022888184,1.8954800367355347,0
2025-06-09,1.8938699960708618,1.8948099613189697,1.8839000463485718,1.893489956855774,0
2025-06-10,1.8884999752044678,1.890570044517517,1.8824000358581543,1.8884999752044678,0
2025-06-11,1.8875900506973267,1.9023799896240234,1.8866699934005737,1.8875900506973267,0
2025-06-12,1.9064899682998657,1.9188200235366821,1.9057999849319458,1.9064899682998657,0
2025-06-13,1.9123400449752808,1.923140048980713,1.9110000133514404,1.9123400449752808,0
2025-06-16,1.9178999662399292,1.9208300113677979,1.9062999486923218,1.9178999662399292,0
2025-06-17,1.9094300270080566,1.9102599620819092,1.9017000198364258,1.9094300270080566,0
2025-06-18,1.9074699878692627,1.9107600450515747,1.904379963874817,1.9074699878692627,0
2025-06-19,1.903749942779541,1.9235399961471558,1.9026999473571777,1.903749942779541,0
2025-06-20,1.918280005455017,1.9305100440979004,1.9169600009918213,1.918280005455017,0
2025-06-23,1.9288300275802612,1.9486500024795532,1.927090048789978,1.9288300275802612,0
2025-06-24,1.934689998626709,1.9352799654006958,1.9212000370025635,1.934689998626709,0
2025-06-25,1.9317200183868408,1.933210015296936,1.923200011253357,1.9317200183868408,0
2025-06-26,1.9295400381088257,1.9350700378417969,1.9286999702453613,1.9295400381088257,0
2025-06-27,1.9296499490737915,1.937459945678711,1.9249999523162842,1.9296499490737915,0
2025-06-30,1.9338300228118896,1.9347100257873535,1.926300048828125,1.9338300228118896,0
2025-07-01,1.934630036354065,1.9380799531936646,1.9273200035095215,1.934630036354065,0
2025-07-02,1.9348299503326416,1.9428900480270386,1.9316999912261963,1.9348299503326416,0
2025-07-03,1.9379600286483765,1.9440499544143677,1.9369499683380127,1.9379600286483765,0
2025-07-04,1.9358700513839722,1.9465700387954712,1.9341000318527222,1.9358700513839722,0
2025-07-07,1.9429199695587158,1.9586399793624878,1.942199945449829,1.9554100036621094,0
