"('timestamp', '')","('open', 'GBPAUD=X')","('high', 'GBPAUD=X')","('low', 'GBPAUD=X')","('close', 'GBPAUD=X')","('volume', 'GBPAUD=X')"
2025-05-27,2.092910051345825,2.1032700538635254,2.0911600589752197,2.092910051345825,0
2025-05-28,2.0957999229431152,2.1005899906158447,2.0919599533081055,2.0957999229431152,0
2025-05-29,2.090290069580078,2.096640110015869,2.087820053100586,2.090290069580078,0
2025-05-30,2.0943000316619873,2.101720094680786,2.092329978942871,2.0943000316619873,0
2025-06-02,2.0900299549102783,2.092400074005127,2.0850000381469727,2.0900299549102783,0
2025-06-03,2.0859999656677246,2.0964300632476807,2.085520029067993,2.0859999656677246,0
2025-06-04,2.092519998550415,2.095370054244995,2.083470106124878,2.092519998550415,0
2025-06-05,2.087820053100586,2.0883500576019287,2.081049919128418,2.087820053100586,0
2025-06-06,2.0859200954437256,2.0893499851226807,2.081890106201172,2.0859200954437256,0
2025-06-09,2.0825700759887695,2.083009958267212,2.0767900943756104,2.0825700759887695,0
2025-06-10,2.079669952392578,2.0811500549316406,2.0694499015808105,2.079669952392578,0
2025-06-11,2.0693700313568115,2.079210042953491,2.067080020904541,2.0693700313568115,0
2025-06-12,2.084009885787964,2.0941998958587646,2.080859899520874,2.084009885787964,0
2025-06-13,2.087209939956665,2.0990800857543945,2.0853700637817383,2.087209939956665,0
2025-06-16,2.0728049278259277,2.0927000045776367,2.0781800746917725,2.0728049278259277,0
2025-06-17,2.084089994430542,2.0847299098968506,2.0716300010681152,2.084089994430542,0
2025-06-18,2.0722599029541016,2.0731000900268555,2.063800096511841,2.0722599029541016,0
2025-06-19,2.061530113220215,2.083209991455078,2.0609700679779053,2.061530113220215,0
2025-06-20,2.077620029449463,2.0865299701690674,2.0763700008392334,2.077620029449463,0
2025-06-23,2.084009885787964,2.1006100177764893,2.0839200019836426,2.084009885787964,0
2025-06-24,2.090830087661743,2.095319986343384,2.085779905319214,2.090830087661743,0
2025-06-25,2.0963099002838135,2.098949909210205,2.0927000045776367,2.0963099002838135,0
2025-06-26,2.0988800525665283,2.103369951248169,2.0957300662994385,2.0988800525665283,0
2025-06-27,2.096299886703491,2.1021199226379395,2.094480037689209,2.096299886703491,0
2025-06-30,2.0996999740600586,2.1002299785614014,2.08735990524292,2.0996999740600586,0
2025-07-01,2.087739944458008,2.0936899185180664,2.086289882659912,2.087739944458008,0
2025-07-02,2.0886900424957275,2.0919299125671387,2.070319890975952,2.0886900424957275,0
2025-07-03,2.073460102081299,2.080970048904419,2.0728800296783447,2.073460102081299,0
2025-07-04,2.0777900218963623,2.0852200984954834,2.0767300128936768,2.0777900218963623,0
2025-07-07,2.0834999084472656,2.096139907836914,2.0781400203704834,2.0939199924468994,0
